shinsei,2
bank,2616
to,120681
buy,2039
consumer,1337
credit,599
co,2485
ap,16275
tokyo,1391
based,2215
is,22100
wrapping,27
up,10741
an,17000
agreement,1289
a,108982
company,7160
from,17828
ufj,71
holdings,357
japanese,1297
banking,359
group,4665
that,27932
set,3087
merge,176
with,26812
another,2524
big,2429
four,3715
financial,1473
viacom,119
posts,559
third,4244
quarter,3993
net,1223
loss,1969
new,21428
york,6216
reuters,17281
inc,6846
viab,15
n,2064
on,57668
thursday,7298
posted,930
as,25377
result,466
of,98655
charges,1307
discontinued,13
operations,728
and,69680
writedown,31
its,22122
assets,363
but,9185
revenue,959
rose,1781
advertising,422
sales,3740
growth,2199
at,25068
mtv,35
nickelodeon,3
cable,465
networks,839
the,205483
cbs,637
television,910
network,2590
bristol,64
myers,42
profit,3256
fell,1387
costs,1191
update,2458
1,5955
squibb,16
which,4606
has,19023
lost,1063
us,13285
patent,410
protection,517
eight,1199
drugs,631
since,2186
2000,390
said,20267
earnings,2057
16,1127
percent,4515
pravachol,4
cholesterol,39
treatment,331
china,3682
aviation,195
oil,7543
illegal,497
behavior,85
:,18040
s,32965
state,3754
watchdog,350
here,1226
friday,6799
derivatives,14
trading,1044
singapore,638
corp,5160
was,13732
in,96439
violation,65
rules,799
exceeded,46
authority,256
deciding,79
endorse,41
vector,25
share,1534
float,73
looms,100
\$,10577
1.3,140
billion,3620
bid,2456
for,50674
ngc,20
promises,237
public,1565
offering,892
shares,2670
local,851
energy,1212
giant,2182
within,812
12,1545
months,1919
put,1407
3,4914
win,4270
bidding,129
war,2268
66,195
per,1324
cent,589
stake,864
owned,267
by,20942
australian,1454
gas,935
light,568
agl,9
aa,95
delay,441
aircraft,492
deliveries,38
fort,124
worth,630
texas,1059
american,2980
airlines,936
says,5345
it,19728
will,14618
defer,33
54,246
56,154
boeing,635
scheduled,440
delivery,178
between,2362
2006,678
2010,81
monday,7581
rough,77
ride,159
schwinn,2
bicycle,30
rise,1731
fall,1416
companies,2451
such,1137
help,2435
explain,136
why,555
economy,1654
become,1061
less,956
forgiving,5
workers,1488
who,6039
lack,267
higher,2111
education,235
or,4015
specialized,21
skills,92
2,6557
eisner,182
he,8659
discussed,75
ovitz,139
hiring,186
walt,236
disney,584
chief,2987
executive,1777
michael,1101
testified,76
tuesday,7413
individually,5
directors,294
bringing,309
entertainment,510
president,5927
reviewed,36
details,405
his,14943
pass,455
interference,59
like,1966
thousands,946
other,3050
hopeful,153
england,1767
football,1705
fans,1127
john,2006
t.,33
bought,307
pair,314
patriots,473
season,4304
tickets,137
1994,51
same,1006
year,9514
robert,285
kraft,86
team,4190
jack,199
daniel's,2
rescue,282
puts,387
strong,1580
performance,872
brown,598
grow,306
strongly,99
canada,1077
bombardier,98
fires,229
yesterday,6032
immediate,174
dismissal,49
paul,767
tellier,23
move,2000
analysts,821
say,2342
increases,293
investor,225
uncertainty,122
over,11356
direction,132
dekalb,4
wins,1471
target,845
center,1304
plans,3133
build,638
regional,309
distribution,194
first,9801
illinois,219
employ,24
"1,000",338
thanks,356
9,1190
citigroup,272
sec,476
may,4583
take,2698
action,1057
against,6900
jones,898
6,3143
world,7611
largest,2695
securities,645
exchange,962
commission,1263
enforcement,139
thomas,234
investment,828
management,1222
leaving,511
treasuries,214
after,14552
manufacturing,410
confidence,550
indexes,66
drop,981
treasury,346
notes,156
heading,281
their,10530
biggest,1787
monthly,188
gain,555
september,1380
reports,1718
today,4582
showed,923
declines,128
slowdown,169
quattrone,78
barred,85
life,1469
frank,234
p.,37
former,3380
star,1249
banker,90
found,1774
guilty,533
obstruction,37
justice,531
been,5533
industry,2274
regulators,639
contend,28
ba,142
issues,664
fuel,897
cost,1151
warning,694
jumps,155
335,18
m,1732
british,2722
airways,796
rod,84
eddington,14
warned,955
preparing,306
long,2477
hard,943
winter,694
high,3962
eats,9
into,6676
national,2729
flag,132
carrier,480
profits,977
fda,243
panel,513
urges,361
more,9149
studies,106
stroke,283
med,4
advisory,73
recommended,74
approving,33
astrazeneca,83
prevention,52
medication,41
exanta,24
citing,484
concerns,856
about,6428
drug,1737
effect,288
liver,31
electronics,736
boutique,13
quintuples,2
no,5973
not,7063
bell,366
nasdaq,613
reported,2706
had,5279
increased,571
fivefold,6
7.3,12
million,5812
0.30,3
beating,498
estimates,402
penny,47
black's,2
hollinger,207
bids,249
go,1909
private,725
toronto,903
conrad,109
hlgc,4
announced,3445
terms,400
proposal,479
out,7556
minority,134
shareholders,466
just,2838
one,8094
day,4242
u.s.,7356
charged,799
both,1284
black,788
fraud,716
txu,20
raises,426
outlook,881
dividend,192
;,13683
repurchase,30
october,1377
25,973
newratings.com,134
corporation,357
nys,58
50,1188
buyback,84
programme,191
while,2415
than,6734
tripling,8
quarterly,1132
payout,43
leading,1399
annual,677
rate,1093
comcast,141
time,5494
warner,475
eye,415
adelphia,55
philadelphia,617
are,9793
considering,341
bankrupt,189
communications,966
times,1090
should,1517
ban,753
offshore,113
internet,4066
gambling,99
trade,2120
organization,486
wednesday,7492
ruled,527
united,5121
states,3051
americans,861
wagering,4
casinos,84
oxendine,3
w.,488
